family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
Statistics,Mean,stat_mean,Q4LE,7.16738560331874,6.97546922115625,-0.504043445993917,3.09176630318595,,-2.37552555370417e-05,1.63947697370956,0.069654330166643,0.530266616086549
Statistics,Variance,stat_var,ECT3,25.1572983011224,19.6101116420302,2.59271665050442,1.71525584034594,,0.0029392085433211,1.37256367742679,2.05334902111557,6.32981487037555
Statistics,Skewness,stat_skew,KE2A,1.41382568817947,1.33420974281755,-1.6459407190419,0.700930612996854,,-0.0733397949399157,1.47937270488595,0.797274539718715,0.798925498331168
Statistics,(Excess) kurtosis,stat_kurt,IPH6,1.5240949670721,1.19447549764609,4.70930315494629,-0.575148796744414,,0.742723037658727,3.14154062958651,5.4528459703739,2.53247013575133
Statistics,Median,stat_median,Y12H,5.73867915811384,5.66451672530335,-0.213892369487723,2.62062655230115,,8.14537901274654e-05,1.40177754718678,-0.0129624436428623,0.343954886558486
Statistics,Minimum,stat_min,1GSF,0.202107842200124,0.4766610990117,-11.8037477269479,1.00071720705972,,-0.270794729163393,-0.74675213962037,-8.98466740830009,-7.6978760688792
Statistics,10th percentile,stat_p10,QG58,2.29964608521957,2.63466327794991,-2.39177946105388,1.69474138187621,,-0.065921761356444,0.422671628851435,-1.36046461726296,-2.21498303066343
Statistics,90th percentile,stat_p90,8DWT,15.3863173278866,14.2963927288012,1.06446994376378,5.12959397579745,,0.0654018075546647,3.09714091621521,1.56193921254249,3.23623575155744
Statistics,Maximum,stat_max,84IY,28.136354144509,21.9550045589214,3.86352084737582,6.49380351546799,,0.211787991610943,8.25174284373329,11.0636841606644,13.2811375103191
Statistics,Interquartile range,stat_iqr,SALO,4.61789514012217,4.17754253222333,1.4118656179388,1.99543887381344,,0.0676307834147989,1.34603668132129,1.29564097052447,2.39661196789273
Statistics,Range,stat_range,2OJQ,27.9342463023088,21.4783434599097,15.6672685743238,5.49308630840827,,0.482582720774336,8.99849498335366,20.0483515689645,20.9790135791983
Statistics,Mean absolute deviation,stat_mad,4FUA,3.73332363860159,3.32184449915359,1.11652061768195,1.1143477303574,,0.0417931139910794,0.872241991878224,0.974595612964183,1.77300807730086
Statistics,Robust mean absolute deviation,stat_rmad,1128,2.22216311933247,1.98707720657223,0.632016968480098,0.842601494148557,,0.0279204213092518,0.558346760169508,0.557613592505619,1.03081837448452
Statistics,Median absolute deviation,stat_medad,N72L,3.47276901274088,3.08111161813652,1.08642361826194,1.06893992953751,,0.0417929869043263,0.847839503153543,0.971697833658788,1.76464207773275
Statistics,Coefficient of variation,stat_cov,7TET,0.699795635743299,0.634843396214101,-3.19454901710787,0.423601797029943,,-2282.20942272201,0.714596573615453,20.5723198333482,4.74461762682856
Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.36916689716254,0.334750965904033,-2.42972383617869,0.326579479962786,,116.485582048649,0.447855495026745,206.295923081497,2.98428388815867
Statistics,Energy,stat_energy,N8CA,494987.726600581,441552.783192721,18412.9500524294,72922.0088492601,,19.010804508172,26262.9804112871,13312.442430474,42759.93218258
Statistics,Root mean square,stat_rms,5ZWQ,8.74806919770204,8.26240173904226,1.68723929718159,3.35771867699813,,0.0542144732302479,2.01505543962211,1.434643072972,2.57118602098554
