family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
Statistics,Mean,stat_mean,Q4LE,425.390238636743,425.378049935887,0.119807626205002,24.5273802427437,8.45634640100848,1.42944920781582e-06,2.81579219756323,-0.00426444390654681,-0.081904024059245
Statistics,Variance,stat_var,ECT3,2129.8200133807,1952.27556054704,6.44515555511553,105.284921233685,63.8217974993373,0.00813741858028771,5.83670403832861,72.1201754388209,348.865652331293
Statistics,Skewness,stat_skew,KE2A,0.677804021808615,0.655839797569384,1.13102796791774,3.13954713333417,4.31712908725082,-0.00457564558492438,2.60984975939675,-0.0154938750409433,-0.185307641484211
Statistics,(Excess) kurtosis,stat_kurt,IPH6,7.21742762386202,6.58367288828484,7.25768191883212,13.9217101891107,31.6807625305735,0.546872932259794,16.5293228572101,7.22870924726497,8.97522829404468
Statistics,Median,stat_median,Y12H,422.716662409316,422.513817407467,-0.130294576108085,21.5585763773284,6.5728057120271,-7.33859152980575e-05,2.32465077787063,-0.0303746637265637,-0.209946222048931
Statistics,Minimum,stat_min,1GSF,121.055698064295,136.165006522779,-28.2657620611322,11.6137877701789,0.0114326393752085,-0.908981635825292,-6.68663278085926,-134.314491621092,-208.324006749905
Statistics,10th percentile,stat_p10,QG58,373.044249967176,375.010458909803,-2.33030305432914,16.9647678765675,2.4437750539347,-0.112751081199228,0.535938425131769,-9.43831608462817,-19.276933352118
Statistics,90th percentile,stat_p90,8DWT,479.322007372076,476.986054944992,2.62651816755922,34.9096982166496,15.3825322744287,0.11295911400775,5.58581423194735,9.46027257704372,19.8951143653175
Statistics,Maximum,stat_max,84IY,1061.44645143892,985.772197259797,18.4774818322024,146.527199957041,138.261776736463,0.712642864610038,49.0784213933694,128.672528257312,266.826573548858
Statistics,Interquartile range,stat_iqr,SALO,60.9719867219429,59.3774312193747,2.24399361015613,7.48039959888023,6.00460980096359,0.116692513673665,2.45061137034107,9.40442832759505,19.0754283043074
Statistics,Range,stat_range,2OJQ,940.390753374622,849.607190737018,46.7432438933346,134.913412186862,138.250344097087,1.62162450043533,55.7650541742287,262.987019878405,475.150580298763
Statistics,Mean absolute deviation,stat_mad,4FUA,35.486859977784,34.2044215010777,1.69220339125806,6.52088252004345,4.7922899616787,0.0707172604534745,1.68240057317808,6.14757035835129,12.9919496671767
Statistics,Robust mean absolute deviation,stat_rmad,1128,24.9217986872162,24.223511080478,0.961848329818047,3.36768827472788,2.58744080230508,0.0484831809824863,1.04297481470923,3.94200581686896,8.03710708484702
Statistics,Median absolute deviation,stat_medad,N72L,35.4296853126932,34.1375734329778,1.6765822357535,5.92809660299024,4.48851214520809,0.0707172311258855,1.62985542899826,6.14753137832446,12.9914775881985
Statistics,Coefficient of variation,stat_cov,7TET,0.108488556783224,0.103871279854052,21.190062535659,0.418342439283413,0.944717044583412,63106.5734834737,0.857991992890243,-1991.43429097721,-228.046739189923
Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.0715860184012695,0.0697139099362924,-10.1386848004067,0.166022574164945,0.423281592401218,3802.76153673606,0.487268757366897,-238.980943096742,-73.4005381328967
Statistics,Energy,stat_energy,N8CA,164967136162.146,164797819255.063,5820231.15340452,636919776.779035,121938230.292355,7332.08267749348,12403070.4119675,64982674.4218864,314345509.688906
Statistics,Root mean square,stat_rms,5ZWQ,427.886287628858,427.666646966776,2.54155649601035,26.5871642490473,11.6332107327765,0.090207641485248,3.71017381509096,8.49236089814268,18.6781251896557
