feature_tag;family;feature_name;ibsi_identifier;ID_1;ID_2;ID_3;ID_4;ID_5;ID_6;ID_7;ID_8;ID_9
stat_mean;Statistics;Mean;Q4LE;352.16348;352.9453;1.92588068856849;42.67931;22.1363600370933;0.00051459286;4.3753157;0.0425696409793064;-0.144686642395002
stat_var;Statistics;Variance;ECT3;15612.516;14690.58;22.8978627464605;1440.7609;592.501711243934;0.15015349;26.11275;371.846682529899;1189.38459092651
stat_skew;Statistics;Skewness;KE2A;3.00736960257913;2.94652030876847;0.186092869003966;1.67805147723979;3.68224470528973;-0.0781803346757183;2.73582655894373;0.08867172638373;-0.0869033148207365
stat_kurt;Statistics;(Excess) kurtosis;IPH6;9.10338918827223;8.64109030945246;4.27028221227993;2.54913005769188;22.0664496151132;14.2773734324445;10.6015810544611;13.1947432130572;6.61953761941226
stat_median;Statistics;Median;Y12H;313.02747;313.73907;0.781178659756464;25.313116;14.6979360615564;6.3095555e-05;2.476732;-0.0283762199722197;0.0753867748814123
stat_min;Statistics;Minimum;1GSF;84.11084;148.75478;-36.1531008890553;9.055568;0.0145055440046384;-5.101316;-7.6714034;-210.214925375395;-226.284576859899
stat_p10;Statistics;10th percentile;QG58;281.761968994141;284.129364013672;-1.23288839462224;13.2593454360962;5.18026811980325;-0.30155046582222;0.742357838153839;-13.8844343393029;-29.7852455985798
stat_p90;Statistics;90th percentile;8DWT;469.162243652344;475.047686767578;8.50811470883793;101.489559936523;46.9770004735106;0.303969997167587;10.594038772583;14.4009392515731;32.3608779893595
stat_max;Statistics;Maximum;84IY;1132.3446;1072.9032;24.1653165816622;322.188;473.764464322798;6.07964;65.815765;220.366894252111;288.398291256656
stat_iqr;Statistics;Interquartile range;SALO;43.2391052246094;42.3795166015625;3.72542556592059;40.854248046875;16.660138341099;0.242759764194489;4.15099650621414;10.7068413113468;21.7250059348826
stat_range;Statistics;Range;2OJQ;1048.2338;924.14844;60.3184174707175;313.13242;473.749958778794;11.180956;73.48717;430.581819627506;514.682868116555
stat_mad;Statistics;Mean absolute deviation;4FUA;74.21483;73.10525;3.27006972750809;29.296085;15.17231375399;0.22373559;3.4871385;10.7043334325012;20.9415424383273
stat_rmad;Statistics;Robust mean absolute deviation;1128;23.30921;23.551086;1.80206207717626;18.928444;7.68399384861252;0.106686525;1.9290249;4.77702174837207;9.98155360542746
stat_medad;Statistics;Median absolute deviation;N72L;59.39707;58.171417;3.06285460351892;25.915848;13.5374079942987;0.22373506;3.0778;10.7040636305964;20.9401715324002
stat_cov;Statistics;Coefficient of variation;7TET;0.35480696;0.3434093;2.48466644830325;0.889362;1.09960978225272;753.01556;1.1679302;452.983067240113;-238.35963699219
stat_qcod;Statistics;Quartile coefficient of dispersion;9S40;0.0681179362374782;0.0665349566863896;1.17556662975765;0.557725179079911;0.487452727992858;-1696.21864750898;0.615042199865138;-185.190193075118;54.7164959112903
stat_energy;Statistics;Energy;N8CA;76001860000;75800180000;14482204.1545349;1775670900;589218963.537572;81729.14;24633050;202398251.212998;647396995.556266
stat_rms;Statistics;Root mean square;5ZWQ;373.673027874374;373.176908399099;5.15818564740176;57.1164065485618;32.9016739230051;0.387496783754446;6.72726801236216;19.2833735301744;34.4877590624703
