id_subject;id_cohort;img_data_settings_id;img_data_modality;img_data_config;img_data_noise_level;img_data_noise_iter;img_data_rotation_angle;img_data_roi_randomise_iter;img_data_roi_adapt_size;img_data_translate_x;img_data_translate_y;img_data_translate_z;img_data_voxel_size;img_data_roi;diag_img_dim_x_init_img_CT;diag_img_dim_y_init_img_CT;diag_img_dim_z_init_img_CT;diag_vox_dim_x_init_img_CT;diag_vox_dim_y_init_img_CT;diag_vox_dim_z_init_img_CT;diag_mean_int_init_img_CT;diag_min_int_init_img_CT;diag_max_int_init_img_CT;diag_int_map_dim_x_init_roi;diag_int_map_dim_y_init_roi;diag_int_map_dim_z_init_roi;diag_int_bb_dim_x_init_roi;diag_int_bb_dim_y_init_roi;diag_int_bb_dim_z_init_roi;diag_int_vox_dim_x_init_roi;diag_int_vox_dim_y_init_roi;diag_int_vox_dim_z_init_roi;diag_int_vox_count_init_roi;diag_int_mean_int_init_roi;diag_int_min_int_init_roi;diag_int_max_int_init_roi;diag_mrp_map_dim_x_init_roi;diag_mrp_map_dim_y_init_roi;diag_mrp_map_dim_z_init_roi;diag_mrp_bb_dim_x_init_roi;diag_mrp_bb_dim_y_init_roi;diag_mrp_bb_dim_z_init_roi;diag_mrp_vox_dim_x_init_roi;diag_mrp_vox_dim_y_init_roi;diag_mrp_vox_dim_z_init_roi;diag_mrp_vox_count_init_roi;diag_mrp_mean_int_init_roi;diag_mrp_min_int_init_roi;diag_mrp_max_int_init_roi;diag_img_dim_x_interp_img_CT;diag_img_dim_y_interp_img_CT;diag_img_dim_z_interp_img_CT;diag_vox_dim_x_interp_img_CT;diag_vox_dim_y_interp_img_CT;diag_vox_dim_z_interp_img_CT;diag_mean_int_interp_img_CT;diag_min_int_interp_img_CT;diag_max_int_interp_img_CT;diag_int_map_dim_x_interp_roi;diag_int_map_dim_y_interp_roi;diag_int_map_dim_z_interp_roi;diag_int_bb_dim_x_interp_roi;diag_int_bb_dim_y_interp_roi;diag_int_bb_dim_z_interp_roi;diag_int_vox_dim_x_interp_roi;diag_int_vox_dim_y_interp_roi;diag_int_vox_dim_z_interp_roi;diag_int_vox_count_interp_roi;diag_int_mean_int_interp_roi;diag_int_min_int_interp_roi;diag_int_max_int_interp_roi;diag_mrp_map_dim_x_interp_roi;diag_mrp_map_dim_y_interp_roi;diag_mrp_map_dim_z_interp_roi;diag_mrp_bb_dim_x_interp_roi;diag_mrp_bb_dim_y_interp_roi;diag_mrp_bb_dim_z_interp_roi;diag_mrp_vox_dim_x_interp_roi;diag_mrp_vox_dim_y_interp_roi;diag_mrp_vox_dim_z_interp_roi;diag_mrp_vox_count_interp_roi;diag_mrp_mean_int_interp_roi;diag_mrp_min_int_interp_roi;diag_mrp_max_int_interp_roi;diag_img_dim_x_reseg_img_CT;diag_img_dim_y_reseg_img_CT;diag_img_dim_z_reseg_img_CT;diag_vox_dim_x_reseg_img_CT;diag_vox_dim_y_reseg_img_CT;diag_vox_dim_z_reseg_img_CT;diag_mean_int_reseg_img_CT;diag_min_int_reseg_img_CT;diag_max_int_reseg_img_CT;diag_int_map_dim_x_reseg_roi;diag_int_map_dim_y_reseg_roi;diag_int_map_dim_z_reseg_roi;diag_int_bb_dim_x_reseg_roi;diag_int_bb_dim_y_reseg_roi;diag_int_bb_dim_z_reseg_roi;diag_int_vox_dim_x_reseg_roi;diag_int_vox_dim_y_reseg_roi;diag_int_vox_dim_z_reseg_roi;diag_int_vox_count_reseg_roi;diag_int_mean_int_reseg_roi;diag_int_min_int_reseg_roi;diag_int_max_int_reseg_roi;diag_mrp_map_dim_x_reseg_roi;diag_mrp_map_dim_y_reseg_roi;diag_mrp_map_dim_z_reseg_roi;diag_mrp_bb_dim_x_reseg_roi;diag_mrp_bb_dim_y_reseg_roi;diag_mrp_bb_dim_z_reseg_roi;diag_mrp_vox_dim_x_reseg_roi;diag_mrp_vox_dim_y_reseg_roi;diag_mrp_vox_dim_z_reseg_roi;diag_mrp_vox_count_reseg_roi;diag_mrp_mean_int_reseg_roi;diag_mrp_min_int_reseg_roi;diag_mrp_max_int_reseg_roi;laws_l5e5_energy_delta_7_invar_stat_mean;laws_l5e5_energy_delta_7_invar_stat_var;laws_l5e5_energy_delta_7_invar_stat_skew;laws_l5e5_energy_delta_7_invar_stat_kurt;laws_l5e5_energy_delta_7_invar_stat_median;laws_l5e5_energy_delta_7_invar_stat_min;laws_l5e5_energy_delta_7_invar_stat_p10;laws_l5e5_energy_delta_7_invar_stat_p90;laws_l5e5_energy_delta_7_invar_stat_max;laws_l5e5_energy_delta_7_invar_stat_iqr;laws_l5e5_energy_delta_7_invar_stat_range;laws_l5e5_energy_delta_7_invar_stat_mad;laws_l5e5_energy_delta_7_invar_stat_rmad;laws_l5e5_energy_delta_7_invar_stat_medad;laws_l5e5_energy_delta_7_invar_stat_cov;laws_l5e5_energy_delta_7_invar_stat_qcod;laws_l5e5_energy_delta_7_invar_stat_energy;laws_l5e5_energy_delta_7_invar_stat_rms
phantom;;4.A;CT;4.A;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.0;0.9767195476720741;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112876;-27.05165;-973.0;336.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112876;-27.05165;-973.0;336.0;124.83346;14184.633;1.0170138878035253;-0.03621545808632609;59.972298;13.686682;23.819236755371094;311.7730712890625;621.8997;183.95623207092285;608.213;102.007355;79.43378;94.04514;0.9540652;0.764182572121212;3360095700.0;172.53413101532962
phantom;;4.A;CT;4.A;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.0;0.9767195476720741;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125226;-47.25231;-973.0;346.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;141.81389;16768.383;0.8597726545861647;-0.34300810644842716;84.124985;13.686682;24.168643951416016;335.36444091796875;628.1754;212.31314086914062;614.4887;112.43095;90.32975;107.25316;0.9131179;0.7836484995217848;4618280400.0;192.0405304353317
phantom;;4.A;CT;4.A;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.0;0.9767195476720741;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;106;102;26;0.9767195476720741;0.9771971138435911;3.0;137994;-73.77579;-1000.0;393.0;249;247;60;106;102;26;0.9767195476720741;0.9771971138435911;3.0;138072;-73.42411;-1000.0;801.0;157.9771;19193.064;0.7392356974526231;-0.5319285227349964;111.794495;13.686682;24.502512550354005;356.65748291015626;646.1985;238.43909645080566;632.5118;120.97766;98.73566;118.04255;0.87695646;0.7966917741699612;6092411000.0;210.11859623822576
phantom;;4.A;CT;4.A;-1.0;0;-15.0;-1;-2.0;0.0;0.25;0.0;0.9767195476720741;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;98;93;26;0.9767195476720741;0.9771971138435911;3.0;112904;-27.032541;-966.0;307.0;249;247;60;98;93;26;0.9767195476720741;0.9771971138435911;3.0;112904;-27.032541;-966.0;307.0;124.71226;14157.781;1.017008579544424;-0.03419847855421798;60.073338;13.698273;23.753807067871094;311.65838928222655;620.4638;183.58578300476074;606.7655;101.91159;79.355064;93.97083;0.95408803;0.7641422243634206;3354482700.0;172.36858370174775
phantom;;4.A;CT;4.A;-1.0;0;-15.0;-1;0.0;0.0;0.25;0.0;0.9767195476720741;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125203;-47.0454;-969.0;393.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;141.60645;16725.527;0.8599595100804035;-0.3423535748206121;83.94591;13.698273;24.112654876708984;334.7719665527344;628.6344;211.86059951782227;614.93616;112.28068;90.20974;107.114784;0.9132862;0.7835259373635896;4604705300.0;191.77568903850235
phantom;;4.A;CT;4.A;-1.0;0;-15.0;-1;2.0;0.0;0.25;0.0;0.9767195476720741;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;106;101;26;0.9767195476720741;0.9771971138435911;3.0;137920;-73.28386;-1000.0;398.0;249;247;60;106;101;26;0.9767195476720741;0.9771971138435911;3.0;137994;-72.95814;-1001.0;788.0;157.69327;19134.975;0.7394103630495076;-0.5321762916078412;111.47819;13.698273;24.45310821533203;356.01599426269536;656.5728;237.8226718902588;642.8745;120.80086;98.58816;117.85396;0.87720436;0.7964661395366467;6068775400.0;209.76687535299664
phantom;;4.A;CT;4.A;-1.0;0;-15.0;-1;-2.0;0.0;0.5;0.0;0.9767195476720741;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112941;-27.188337;-988.0;369.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112941;-27.188337;-988.0;369.0;124.821785;14196.993;1.0159934875929082;-0.037756300966222955;59.947853;13.612768;23.689470291137695;311.8267517089844;616.87244;183.92406272888184;603.25964;102.060616;79.49296;94.12178;0.95457006;0.7647790163598672;3363097000.0;172.561492403804
phantom;;4.A;CT;4.A;-1.0;0;-15.0;-1;0.0;0.0;0.5;0.0;0.9767195476720741;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125219;-47.31508;-988.0;397.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;141.67847;16757.688;0.8594669925338544;-0.3439687200562678;83.86309;13.612768;24.0492244720459;334.71405029296875;628.01184;212.18824577331543;614.39905;112.39422;90.30531;107.22843;0.91369915;0.7840258173750667;4611875300.0;191.9126770974107
phantom;;4.A;CT;4.A;-1.0;0;-15.0;-1;2.0;0.0;0.5;0.0;0.9767195476720741;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;106;102;26;0.9767195476720741;0.9771971138435911;3.0;137904;-73.57337;-999.0;397.0;249;247;60;106;102;26;0.9767195476720741;0.9771971138435911;3.0;137980;-73.24923;-1001.0;797.0;157.73712;19167.564;0.7399029739344083;-0.5305698075474079;111.629875;13.612768;24.389274978637697;356.22240295410154;665.74396;238.10291862487793;652.13116;120.89547;98.65772;117.94596;0.877707;0.7969382727083385;6074472400.0;209.8774851324411
phantom;;4.A;CT;4.A;-1.0;0;-15.0;-1;-2.0;0.0;0.75;0.0;0.9767195476720741;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.31775;-1037.0;2712.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125219;-47.400593;-988.0;716.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125219;-47.400593;-988.0;716.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.31775;-1037.0;2712.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112896;-27.15424;-988.0;358.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112896;-27.15424;-988.0;358.0;124.93124;14218.322;1.0149417438460948;-0.0445001262822915;59.87117;13.5998335;23.755066871643066;312.1841278076172;616.7634;184.25116729736328;603.1636;102.15185;79.57964;94.18864;0.9544499;0.7647882974718746;3367251500.0;172.702449474296
