id_subject;id_cohort;img_data_settings_id;img_data_modality;img_data_config;img_data_noise_level;img_data_noise_iter;img_data_rotation_angle;img_data_roi_randomise_iter;img_data_roi_adapt_size;img_data_translate_x;img_data_translate_y;img_data_translate_z;img_data_voxel_size;img_data_roi;diag_img_dim_x_init_img_CT;diag_img_dim_y_init_img_CT;diag_img_dim_z_init_img_CT;diag_vox_dim_x_init_img_CT;diag_vox_dim_y_init_img_CT;diag_vox_dim_z_init_img_CT;diag_mean_int_init_img_CT;diag_min_int_init_img_CT;diag_max_int_init_img_CT;diag_int_map_dim_x_init_roi;diag_int_map_dim_y_init_roi;diag_int_map_dim_z_init_roi;diag_int_bb_dim_x_init_roi;diag_int_bb_dim_y_init_roi;diag_int_bb_dim_z_init_roi;diag_int_vox_dim_x_init_roi;diag_int_vox_dim_y_init_roi;diag_int_vox_dim_z_init_roi;diag_int_vox_count_init_roi;diag_int_mean_int_init_roi;diag_int_min_int_init_roi;diag_int_max_int_init_roi;diag_mrp_map_dim_x_init_roi;diag_mrp_map_dim_y_init_roi;diag_mrp_map_dim_z_init_roi;diag_mrp_bb_dim_x_init_roi;diag_mrp_bb_dim_y_init_roi;diag_mrp_bb_dim_z_init_roi;diag_mrp_vox_dim_x_init_roi;diag_mrp_vox_dim_y_init_roi;diag_mrp_vox_dim_z_init_roi;diag_mrp_vox_count_init_roi;diag_mrp_mean_int_init_roi;diag_mrp_min_int_init_roi;diag_mrp_max_int_init_roi;diag_img_dim_x_interp_img_CT;diag_img_dim_y_interp_img_CT;diag_img_dim_z_interp_img_CT;diag_vox_dim_x_interp_img_CT;diag_vox_dim_y_interp_img_CT;diag_vox_dim_z_interp_img_CT;diag_mean_int_interp_img_CT;diag_min_int_interp_img_CT;diag_max_int_interp_img_CT;diag_int_map_dim_x_interp_roi;diag_int_map_dim_y_interp_roi;diag_int_map_dim_z_interp_roi;diag_int_bb_dim_x_interp_roi;diag_int_bb_dim_y_interp_roi;diag_int_bb_dim_z_interp_roi;diag_int_vox_dim_x_interp_roi;diag_int_vox_dim_y_interp_roi;diag_int_vox_dim_z_interp_roi;diag_int_vox_count_interp_roi;diag_int_mean_int_interp_roi;diag_int_min_int_interp_roi;diag_int_max_int_interp_roi;diag_mrp_map_dim_x_interp_roi;diag_mrp_map_dim_y_interp_roi;diag_mrp_map_dim_z_interp_roi;diag_mrp_bb_dim_x_interp_roi;diag_mrp_bb_dim_y_interp_roi;diag_mrp_bb_dim_z_interp_roi;diag_mrp_vox_dim_x_interp_roi;diag_mrp_vox_dim_y_interp_roi;diag_mrp_vox_dim_z_interp_roi;diag_mrp_vox_count_interp_roi;diag_mrp_mean_int_interp_roi;diag_mrp_min_int_interp_roi;diag_mrp_max_int_interp_roi;diag_img_dim_x_reseg_img_CT;diag_img_dim_y_reseg_img_CT;diag_img_dim_z_reseg_img_CT;diag_vox_dim_x_reseg_img_CT;diag_vox_dim_y_reseg_img_CT;diag_vox_dim_z_reseg_img_CT;diag_mean_int_reseg_img_CT;diag_min_int_reseg_img_CT;diag_max_int_reseg_img_CT;diag_int_map_dim_x_reseg_roi;diag_int_map_dim_y_reseg_roi;diag_int_map_dim_z_reseg_roi;diag_int_bb_dim_x_reseg_roi;diag_int_bb_dim_y_reseg_roi;diag_int_bb_dim_z_reseg_roi;diag_int_vox_dim_x_reseg_roi;diag_int_vox_dim_y_reseg_roi;diag_int_vox_dim_z_reseg_roi;diag_int_vox_count_reseg_roi;diag_int_mean_int_reseg_roi;diag_int_min_int_reseg_roi;diag_int_max_int_reseg_roi;diag_mrp_map_dim_x_reseg_roi;diag_mrp_map_dim_y_reseg_roi;diag_mrp_map_dim_z_reseg_roi;diag_mrp_bb_dim_x_reseg_roi;diag_mrp_bb_dim_y_reseg_roi;diag_mrp_bb_dim_z_reseg_roi;diag_mrp_vox_dim_x_reseg_roi;diag_mrp_vox_dim_y_reseg_roi;diag_mrp_vox_dim_z_reseg_roi;diag_mrp_vox_count_reseg_roi;diag_mrp_mean_int_reseg_roi;diag_mrp_min_int_reseg_roi;diag_mrp_max_int_reseg_roi;mean_d_5_stat_mean;mean_d_5_stat_var;mean_d_5_stat_skew;mean_d_5_stat_kurt;mean_d_5_stat_median;mean_d_5_stat_min;mean_d_5_stat_p10;mean_d_5_stat_p90;mean_d_5_stat_max;mean_d_5_stat_iqr;mean_d_5_stat_range;mean_d_5_stat_mad;mean_d_5_stat_rmad;mean_d_5_stat_medad;mean_d_5_stat_cov;mean_d_5_stat_qcod;mean_d_5_stat_energy;mean_d_5_stat_rms
phantom;;2.B;CT;2.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.0;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;95;91;74;1.0;1.0;1.0;302677;-18.813253;-972.0;240.0;244;242;180;95;91;74;1.0;1.0;1.0;302677;-18.813253;-972.0;240.0;-22.392265;33167.48;-2.6823577967898875;6.57388707055752;40.216;-882.296;-244.26239929199215;77.34400177001953;217.936;46.16800117492676;1100.232;115.68982;35.87616;87.01915;-8.13314;0.582399844047448;10190800000.0;183.4908557429479
phantom;;2.B;CT;2.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.0;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358485;-47.181786;-984.0;400.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;-50.576565;44277.617;-2.1160437816496254;3.5318737025925504;37.096;-896.2;-390.5727905273437;76.90399932861328;295.552;95.37600326538086;1191.752;149.55412;68.99122;114.13427;-4.160474;3.4416858064556095;16789861000.0;216.41534985824657
phantom;;2.B;CT;2.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.0;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;103;100;82;1.0;1.0;1.0;419609;-80.89175;-1000.0;400.0;244;242;180;103;100;82;1.0;1.0;1.0;419843;-80.59368;-1034.0;835.0;-81.96852;57308.28;-1.6937532420300532;1.6874050757907488;33.424;-937.60004;-507.8591918945312;76.24800109863281;306.88;185.2879981994629;1244.48;183.92511;107.09606;144.44745;-2.9205294;-2.8533940471901356;26866358000.0;253.03581940219598
phantom;;2.B;CT;2.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.25;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;95;91;74;1.0;1.0;1.0;302272;-20.336882;-979.0;245.0;244;242;180;95;91;74;1.0;1.0;1.0;302272;-20.336882;-979.0;245.0;-23.930107;33891.07;-2.64891847898518;6.357609905557295;39.968002;-883.872;-254.14159698486324;77.27999877929688;223.544;46.527997970581055;1107.416;117.63864;36.99366;88.39649;-7.6930404;0.5922606706578714;10417418000.0;185.64407399768908
phantom;;2.B;CT;2.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.25;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357855;-48.624733;-988.0;400.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;-52.02913;44931.76;-2.0955836849021745;3.428415837627112;36.832;-905.096;-396.74880371093747;76.87999725341797;297.304;98.81599807739258;1202.4;151.20341;70.53755;115.462204;-4.0740857;4.122830617594879;17047779000.0;218.26312187449673
phantom;;2.B;CT;2.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.25;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;103;99;82;1.0;1.0;1.0;418590;-82.04629;-1000.0;400.0;244;242;180;103;99;82;1.0;1.0;1.0;418818;-81.7525;-1036.0;846.0;-83.1287;57802.55;-1.681459716550507;1.6376512973198016;33.208;-937.12;-512.0880126953125;76.23999786376953;308.52002;188.56600189208984;1245.64;185.11008;108.41616;145.52512;-2.8921614;-2.7565708525612886;27088187000.0;254.38737160796342
phantom;;2.B;CT;2.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.5;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;95;91;75;1.0;1.0;1.0;307972;-20.97327;-978.0;245.0;244;242;180;95;91;75;1.0;1.0;1.0;307972;-20.97327;-978.0;245.0;-24.501457;34315.16;-2.6313267653425223;6.242719888663084;40.216;-884.17596;-259.32000732421875;77.36800384521484;227.096;46.94399929046631;1111.272;118.75523;37.66468;89.18385;-7.56051;0.5969481063774217;10752991000.0;186.85685250922253
phantom;;2.B;CT;2.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.5;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362795;-48.153145;-980.0;396.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;-51.51188;44897.37;-2.102905120580183;3.457370607879536;37.224;-906.424;-396.0928100585937;76.87200164794922;300.36;97.18800163269043;1206.7839;150.92801;70.02005;115.15052;-4.11342;3.729393845909502;17251210000.0;218.06156496319272
phantom;;2.B;CT;2.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.5;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;103;99;83;1.0;1.0;1.0;422263;-80.52959;-1000.0;398.0;244;242;180;103;99;83;1.0;1.0;1.0;422490;-80.245865;-1036.0;816.0;-81.59974;57402.09;-1.6988570556727884;1.699385685822933;33.704;-934.472;-508.39199829101545;76.19200134277344;310.944;183.54399871826172;1245.416;183.9056;106.73073;144.1984;-2.9361286;-2.9163595945132266;27050426000.0;253.1019802097952
phantom;;2.B;CT;2.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.75;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.6464;-1111.0;2738.0;244;242;180;99;95;78;1.0;1.0;1.0;358958;-45.51184;-981.0;649.0;244;242;180;99;95;78;1.0;1.0;1.0;358958;-45.51184;-981.0;649.0;244;242;180;1.0;1.0;1.0;-349.6464;-1111.0;2738.0;244;242;180;95;91;74;1.0;1.0;1.0;303439;-17.515982;-971.0;238.0;244;242;180;95;91;74;1.0;1.0;1.0;303439;-17.515982;-971.0;238.0;-21.089264;32536.44;-2.711468876721171;6.765437529055424;40.447998;-883.52;-235.63520202636715;77.4000015258789;211.66399;45.88799858093262;1095.184;114.00632;34.97052;85.84496;-8.553101;0.5746343450168234;10007781000.0;181.60725976864177
