,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,2.9571,2.801,-0.36961,0.90137,1.1545,0.00037291,0.47116,0.08645,0.53553
1,Statistics,Variance,stat_var,ECT3,0.89277,0.60938,0.15946,0.021271,0.42331,0.00039122,0.075186,0.18343,0.33377
2,Statistics,Skewness,stat_skew,KE2A,0.43505,0.13737,-0.91142,-0.16618,1.1694,-0.040595,0.62223,0.25362,0.75094
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,0.10763,-0.45351,1.0729,-0.79119,1.7095,-0.10091,0.30525,1.4423,-0.038983
4,Statistics,Median,stat_median,Y12H,2.8711,2.7761,-0.30451,0.9086,1.0532,0.00065938,0.4337,0.065322,0.40188
5,Statistics,Minimum,stat_min,1GSF,0.76378,0.93896,-2.0736,0.53779,0.035606,-0.06451,-0.087111,-1.7387,-0.58778
6,Statistics,10th percentile,stat_p10,QG58,1.7883,1.7884,-0.91009,0.70024,0.4488,-0.025592,0.14876,-0.42656,-0.10557
7,Statistics,90th percentile,stat_p90,8DWT,4.1916,3.7843,0.071092,1.0913,2.0562,0.025495,0.84834,0.60273,1.3767
8,Statistics,Maximum,stat_max,84IY,5.9802,4.8651,0.48275,1.1881,4.1184,0.063279,1.5366,1.9007,2.3136
9,Statistics,Interquartile range,stat_iqr,SALO,1.2414,1.0852,0.51724,0.2274,0.75543,0.026577,0.3864,0.48642,0.77864
10,Statistics,Range,stat_range,2OJQ,5.2164,3.9262,2.5563,0.65035,4.0828,0.12779,1.6237,3.6394,2.9014
11,Statistics,Mean absolute deviation,stat_mad,4FUA,0.75301,0.63508,0.31248,0.12244,0.49021,0.015831,0.22053,0.31997,0.47101
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,0.52276,0.45464,0.21289,0.092206,0.31651,0.01113,0.1571,0.20526,0.33629
13,Statistics,Median absolute deviation,stat_medad,N72L,0.75011,0.63479,0.30738,0.12234,0.48046,0.015828,0.21874,0.31949,0.46053
14,Statistics,Coefficient of variation,stat_cov,7TET,0.31953,0.2787,-1.0804,0.16181,0.56355,53.0395,0.58197,4.9541,1.0788
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.21329,0.19556,-0.76802,0.12628,0.34828,26.5404,0.42002,3.0475,0.78275
16,Statistics,Energy,stat_energy,N8CA,10542.9121,9249.5273,323.9069,912.1075,1921.2835,0.42814,325.1097,208.8434,678.8995
17,Statistics,Root mean square,stat_rms,5ZWQ,3.1044,2.9077,0.54413,0.91309,1.3252,0.019783,0.54514,0.43692,0.78776
