feature_tag,family,feature_name,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
stat_mean,Statistics,Mean,Q4LE,23.88329315185547,23.89182692445472,0.03923506337982982,40.442690611198984,126.30473575307715,-0.0001613745175540536,11.14019409989808,0,0
stat_var,Statistics,Variance,ECT3,353.2760925292969,76.02059652254431,0.30311101846921507,135.79464829525227,8512.854429201425,1.0557993009390743,47.64638420296166,0,0
stat_skew,Statistics,Skewness,KE2A,-0.06634867814631282,-0.2572530240789923,6.665492969616109,0.5188197786508499,1.5408037036321747,0.004977095020696074,0.8422866411836721,0,0
stat_kurt,Statistics,(Excess) kurtosis,IPH6,0.8414602348557993,1.3580233788460916,119.94388166056522,0.7748542939307725,3.2959927868446126,0.6479601466782463,1.3160245800036998,0,0
stat_median,Statistics,Median,Y12H,24.0,24.037037037037006,0.028398873453962716,39.671055077120975,102.563198823277,0.00026089448958475665,10.197722898369221,0,0
stat_min,Statistics,Minimum,1GSF,-100.0,-65.25925925925924,-2.5371536793189726,17.621303449202152,0.06723492621895408,-5.954388069126479,-13.315592630824039,0,0
stat_p10,Statistics,10th percentile,QG58,1.0,13.222222222222271,-0.46033001246575816,25.38698645573083,34.83683340253325,-1.2741950679309901,3.2907215445220563,0,0
stat_p90,Statistics,90th percentile,8DWT,47.0,34.55555555555549,0.4935936986837129,56.51488991025634,251.16011855431287,1.2728347675032645,20.273239384500133,0,0
stat_max,Statistics,Maximum,84IY,151.0,66.11111111111113,14.686846289048018,145.9220000671262,885.8340061490081,7.368045201690744,58.90530056410104,0,0
stat_iqr,Statistics,Interquartile range,SALO,24.0,10.555555555555515,0.4606163120246981,17.350988557311325,107.09951064069318,1.2996901568815828,8.720352107630019,0,0
stat_range,Statistics,Range,2OJQ,251.0,131.37037037037038,17.22399996836699,128.30069661792405,885.7667712227892,13.322433270817223,72.22089319492508,0,0
stat_mad,Statistics,Mean absolute deviation,4FUA,14.478433609008789,6.671768761153407,0.32219454410459764,9.556961443654316,69.77971384587248,0.7994355286426027,5.367163772456455,0,0
stat_rmad,Statistics,Robust mean absolute deviation,1128,9.800554275512695,4.424327088670399,0.19440973076156026,7.095777304570111,45.654235010322424,0.5419420496819866,3.6460950773743317,0,0
stat_medad,Statistics,Median absolute deviation,N72L,14.475435256958008,6.670758428042065,0.32204979052748334,9.53921405232385,67.04814551645649,0.7994354573798089,5.313138172394434,0,0
stat_cov,Statistics,Coefficient of variation,7TET,0.7869786024093628,0.3649356378735913,14.032223824648248,0.28813849686665427,0.7304962131193453,-6367.306094683403,0.6196154188177806,0,0
stat_qcod,Statistics,Quartile coefficient of dispersion,9S40,0.5,0.2197378565921341,8.98371389847794,0.2169833764857798,0.47050233091979354,-3211.1901168758905,0.4094257459265117,0,0
stat_energy,Statistics,Energy,N8CA,656561920.0,459777099.3127574,216547.03373299784,1259124150.9666693,17390370820.29361,750467.4406145944,122080978.23689266,0,0
stat_rms,Statistics,Root mean square,5ZWQ,30.39223289489746,25.433049174462823,0.5519514549918628,42.08807280178571,156.41528283021475,1.0275209618206382,13.105354203010526,0,0
